date,outdoor_temperature,outdoor_humidity,indoor_temperature,indoor_humidity
2021-07-16 02:00:00,23,64.41,21.691,26.683
2021-07-16 03:00:00,31,55.88,21.691,26.683
2021-07-16 04:00:00,23,58.17,21.691,26.683
2021-07-16 05:00:00,25,60.35,21.691,27.544
2021-07-16 06:00:00,25,67.97,21.691,34.43
2021-07-16 07:00:00,22,63.84,21.691,34.43
2021-07-16 08:00:00,22,64.61,21.691,34.43
2021-07-16 09:00:00,26,53.99,21.691,34.43
2021-07-16 10:00:00,27,61.45,21.691,34.43
2021-07-16 11:00:00,28,59.66,21.691,34.43
2021-07-16 12:00:00,30,51.05,21.691,34.43
2021-07-16 13:00:00,31,47.14,21.691,34.43
2021-07-16 14:00:00,26,55.77,21.691,34.43
2021-07-16 15:00:00,23,51.46,21.691,34.43
2021-07-16 16:00:00,16,69.01,21.691,34.43
2021-07-16 17:00:00,14,47.76,21.691,34.43
2021-07-16 18:00:00,27,59.82,21.691,34.43
2021-07-16 19:00:00,31,63.56,21.691,34.43
2021-07-16 20:00:00,27,48.95,21.691,34.43
2021-07-16 21:00:00,31,47.48,21.691,34.43
2021-07-16 22:00:00,29,67.16,21.691,34.43
2021-07-16 23:00:00,29,54.65,21.691,34.43
2021-07-17 00:00:00,26,44.35,21.691,34.43
2021-07-17 01:00:00,19,44.13,21.691,34.43
2021-07-17 02:00:00,22,59.99,21.691,34.43
2021-07-17 03:00:00,30,67.8,21.691,34.43
2021-07-17 04:00:00,22,65.29,21.691,34.43
2021-07-17 05:00:00,24,69.72,21.691,34.43
2021-07-17 06:00:00,24,55.87,21.691,34.43
2021-07-17 07:00:00,21,69.07,21.691,34.43
2021-07-17 08:00:00,21,54.23,21.691,34.43
2021-07-17 09:00:00,25,56.6,21.691,34.43
2021-07-17 10:00:00,26,65.67,21.691,34.43
2021-07-17 11:00:00,27,47.11,21.691,34.43
2021-07-17 12:00:00,29,59.04,21.691,34.43
2021-07-17 13:00:00,30,65.6,21.691,34.43
2021-07-17 14:00:00,25,60.07,21.691,34.43
2021-07-17 15:00:00,22,57.87,21.691,34.43
2021-07-17 16:00:00,15,62.31,21.691,34.43
2021-07-17 17:00:00,13,64.38,21.691,34.43
2021-07-17 18:00:00,26,67.16,21.691,34.43
2021-07-17 19:00:00,30,57.81,21.691,34.43
2021-07-17 20:00:00,26,57.49,21.691,34.43
2021-07-17 21:00:00,30,48.12,21.691,34.43
2021-07-17 22:00:00,28,64.74,21.691,34.43
2021-07-17 23:00:00,28,65.75,21.691,34.43
2021-07-18 00:00:00,19,52.85,21.691,34.43
2021-07-18 01:00:00,12,68.05,21.691,34.43
2021-07-18 02:00:00,15,57.51,21.691,34.43
2021-07-18 03:00:00,23,64.98,21.691,34.43
2021-07-18 04:00:00,15,59.87,21.691,34.43
2021-07-18 05:00:00,17,54.13,21.691,34.43
2021-07-18 06:00:00,17,51.27,21.691,34.43
2021-07-18 07:00:00,14,44.18,21.691,34.43
2021-07-18 08:00:00,14,65.48,21.691,34.43
2021-07-18 09:00:00,18,62.02,21.691,34.43
2021-07-18 10:00:00,19,65.23,21.691,34.43
2021-07-18 11:00:00,20,69.93,21.691,34.43
2021-07-18 12:00:00,22,55.05,20.916,34.43
2021-07-18 13:00:00,23,49.89,20.916,34.43
2021-07-18 14:00:00,18,45.55,20.916,34.43
2021-07-18 15:00:00,15,52.05,21.691,34.43
2021-07-18 16:00:00,8,64.77,21.691,34.43
2021-07-18 17:00:00,6,63.56,21.691,34.43
2021-07-18 18:00:00,19,48.16,21.691,34.43
2021-07-18 19:00:00,23,60.88,21.691,34.43
2021-07-18 20:00:00,19,60.84,21.691,34.43
2021-07-18 21:00:00,23,65.35,21.691,34.43
2021-07-18 22:00:00,21,54.76,21.691,34.43
2021-07-18 23:00:00,21,46.76,21.691,34.43
2021-07-19 00:00:00,27,68.31,25.152,39.496
2021-07-19 01:00:00,20,64.38,25.152,39.496
2021-07-19 02:00:00,23,63.45,25.152,39.496
2021-07-19 03:00:00,31,46.95,25.152,39.496
2021-07-19 04:00:00,23,50.83,25.152,39.496
2021-07-19 05:00:00,25,44.06,25.152,39.496
2021-07-19 06:00:00,25,51.84,25.152,39.496
2021-07-19 07:00:00,22,66.76,25.152,39.496
2021-07-19 08:00:00,22,59.46,25.152,39.496
2021-07-19 09:00:00,26,69.45,25.152,39.496
2021-07-19 10:00:00,27,49.0,25.152,39.496
2021-07-19 11:00:00,28,58.05,25.152,39.496
2021-07-19 12:00:00,30,55.44,25.152,39.496
2021-07-19 13:00:00,31,60.2,25.152,39.496
2021-07-19 14:00:00,26,69.77,25.152,39.496
2021-07-19 15:00:00,23,48.59,25.121,39.496
2021-07-19 16:00:00,16,59.97,24.113,39.496
2021-07-19 17:00:00,14,52.62,24.113,39.496
2021-07-19 18:00:00,27,51.92,24.113,39.496
2021-07-19 19:00:00,31,67.39,24.113,39.496
2021-07-19 20:00:00,27,64.88,24.113,39.496
2021-07-19 21:00:00,31,58.74,24.113,39.496
2021-07-19 22:00:00,29,48.22,24.113,39.496
2021-07-19 23:00:00,29,60.12,24.633,39.496
2021-07-20 00:00:00,13,53.53,25.152,39.496
2021-07-20 01:00:00,6,54.88,25.152,39.496
2021-07-20 02:00:00,9,63.08,25.152,39.496
2021-07-20 03:00:00,17,58.22,25.152,39.496
2021-07-20 04:00:00,9,63.49,25.152,39.496
2021-07-20 05:00:00,11,48.46,25.152,39.496
2021-07-20 06:00:00,11,46.57,25.152,39.496
2021-07-20 07:00:00,8,65.58,25.152,39.496
2021-07-20 08:00:00,8,46.28,25.152,39.496
2021-07-20 09:00:00,12,69.22,25.152,33.259
2021-07-20 10:00:00,13,60.01,25.152,31.181
2021-07-20 11:00:00,14,66.86,25.152,31.181
2021-07-20 12:00:00,16,52.13,25.152,31.181
2021-07-20 13:00:00,17,51.97,24.539,31.181
2021-07-20 14:00:00,12,53.25,24.529,31.181
2021-07-20 15:00:00,9,59.12,24.529,31.181
2021-07-20 16:00:00,2,56.55,24.529,31.181
2021-07-20 17:00:00,0,56.8,24.529,31.181
2021-07-20 18:00:00,13,51.24,24.529,31.181
2021-07-20 19:00:00,17,60.93,24.529,31.181
2021-07-20 20:00:00,13,63.38,24.529,31.181
2021-07-20 21:00:00,17,64.47,24.529,31.181
2021-07-20 22:00:00,15,52.46,24.529,31.181
2021-07-20 23:00:00,15,52.89,24.706,31.181
2021-07-21 00:00:00,21,52.98,26.192,31.181
2021-07-21 01:00:00,14,57.3,26.192,33.259
2021-07-21 02:00:00,17,53.64,26.192,36.378
2021-07-21 03:00:00,25,62.54,26.192,36.378
2021-07-21 04:00:00,17,67.33,26.192,36.378
2021-07-21 05:00:00,19,50.18,26.192,36.378
2021-07-21 06:00:00,19,63.35,26.192,36.378
2021-07-21 07:00:00,16,66.86,26.192,36.378
2021-07-21 08:00:00,16,46.67,26.192,36.378
2021-07-21 09:00:00,20,59.66,24.425,36.378
2021-07-21 10:00:00,21,64.03,24.425,36.378
2021-07-21 11:00:00,22,67.96,24.425,36.378
2021-07-21 12:00:00,24,51.2,24.425,36.378
2021-07-21 13:00:00,25,58.03,24.425,36.378
2021-07-21 14:00:00,20,47.59,26.192,36.378
2021-07-21 15:00:00,17,66.01,26.192,36.378
2021-07-21 16:00:00,10,66.47,26.192,36.378
2021-07-21 17:00:00,8,62.33,26.192,36.378
2021-07-21 18:00:00,21,51.63,26.192,36.378
2021-07-21 19:00:00,25,44.33,26.192,36.378
2021-07-21 20:00:00,21,69.0,26.192,36.378
2021-07-21 21:00:00,25,46.24,26.192,36.378
2021-07-21 22:00:00,23,45.89,26.192,36.378
2021-07-21 23:00:00,23,46.68,26.192,36.378
2021-07-22 00:00:00,22,56.04,26.192,36.378
2021-07-22 01:00:00,15,67.16,27.751,36.378
2021-07-22 02:00:00,18,62.22,27.751,36.378
2021-07-22 03:00:00,26,49.26,27.751,36.378
2021-07-22 04:00:00,18,64.96,27.751,36.378
2021-07-22 05:00:00,20,69.21,27.751,36.378
2021-07-22 06:00:00,20,59.86,27.772,34.299
2021-07-22 07:00:00,17,67.74,27.772,32.22
2021-07-22 08:00:00,17,60.15,26.504,32.22
2021-07-22 09:00:00,21,51.68,26.504,32.22
2021-07-22 10:00:00,22,56.56,26.504,32.22
2021-07-22 11:00:00,23,66.12,26.504,32.22
2021-07-22 12:00:00,25,51.37,26.192,32.22
2021-07-22 13:00:00,26,61.46,26.192,32.22
2021-07-22 14:00:00,21,49.62,26.192,32.22
2021-07-22 15:00:00,18,55.38,26.192,32.22
2021-07-22 16:00:00,11,61.06,26.192,32.22
2021-07-22 17:00:00,9,52.2,26.192,32.22
2021-07-22 18:00:00,22,61.66,26.192,32.22
2021-07-22 19:00:00,26,54.64,26.192,32.22
2021-07-22 20:00:00,22,49.09,26.192,32.22
2021-07-22 21:00:00,26,48.46,26.192,32.22
2021-07-22 22:00:00,24,59.97,26.192,32.22
2021-07-22 23:00:00,24,63.79,26.192,32.22
2021-07-23 00:00:00,22,46.41,26.192,32.22
2021-07-23 01:00:00,15,62.18,26.192,32.22
2021-07-23 02:00:00,18,62.66,26.192,32.22
2021-07-23 03:00:00,26,44.21,26.192,32.22
2021-07-23 04:00:00,18,47.08,26.192,32.22
2021-07-23 05:00:00,20,51.23,26.192,33.259
2021-07-23 06:00:00,20,45.3,26.192,41.574
2021-07-23 07:00:00,17,58.61,26.192,41.574
2021-07-23 08:00:00,17,46.52,26.192,41.574
2021-07-23 09:00:00,21,47.56,26.192,41.574
2021-07-23 10:00:00,22,65.92,26.192,41.574
2021-07-23 11:00:00,23,51.6,26.192,41.574
2021-07-23 12:00:00,25,57.99,26.192,41.574
2021-07-23 13:00:00,26,62.72,26.192,41.574
2021-07-23 14:00:00,21,65.39,26.192,41.574
2021-07-23 15:00:00,18,58.0,26.192,41.574
2021-07-23 16:00:00,11,60.28,26.192,41.574
2021-07-23 17:00:00,9,55.91,26.192,41.574
2021-07-23 18:00:00,22,55.52,26.192,41.574
2021-07-23 19:00:00,26,46.58,26.192,41.574
2021-07-23 20:00:00,22,53.11,26.192,41.574
2021-07-23 21:00:00,26,47.02,26.192,41.574
2021-07-23 22:00:00,24,66.28,26.192,41.574
2021-07-23 23:00:00,24,69.95,26.192,41.574
2021-07-24 00:00:00,24,45.73,26.192,41.574
2021-07-24 01:00:00,17,66.76,26.192,41.574
2021-07-24 02:00:00,20,44.6,26.192,41.574
2021-07-24 03:00:00,28,67.48,26.192,41.574
2021-07-24 04:00:00,20,62.27,26.192,41.574
2021-07-24 05:00:00,22,51.21,26.192,41.574
2021-07-24 06:00:00,22,66.73,26.192,41.574
2021-07-24 07:00:00,19,46.71,26.192,41.574
2021-07-24 08:00:00,19,66.94,26.192,41.574
2021-07-24 09:00:00,23,60.66,26.192,41.574
2021-07-24 10:00:00,24,65.31,26.192,41.574
2021-07-24 11:00:00,25,58.31,26.192,41.574
2021-07-24 12:00:00,27,63.91,26.192,41.574
2021-07-24 13:00:00,28,63.66,26.192,41.574
2021-07-24 14:00:00,23,54.2,26.192,41.574
2021-07-24 15:00:00,20,45.39,26.192,41.574
2021-07-24 16:00:00,13,53.7,26.192,41.574
2021-07-24 17:00:00,11,63.01,26.192,41.574
2021-07-24 18:00:00,24,47.17,26.192,41.574
2021-07-24 19:00:00,28,69.56,26.192,41.574
2021-07-24 20:00:00,24,69.99,26.192,41.574
2021-07-24 21:00:00,28,44.62,26.192,41.574
2021-07-24 22:00:00,26,45.63,26.192,41.574
2021-07-24 23:00:00,26,49.36,26.192,41.574
2021-07-25 00:00:00,18,44.51,26.192,41.574
2021-07-25 01:00:00,11,65.51,26.192,41.574
2021-07-25 02:00:00,14,57.78,26.192,41.574
2021-07-25 03:00:00,22,63.01,26.192,41.574
2021-07-25 04:00:00,14,69.84,26.192,41.574
2021-07-25 05:00:00,16,47.68,26.192,41.574
2021-07-25 06:00:00,16,56.99,26.192,41.574
2021-07-25 07:00:00,13,46.44,26.192,41.574
2021-07-25 08:00:00,13,49.96,26.192,41.574
2021-07-25 09:00:00,17,63.34,26.192,41.574
2021-07-25 10:00:00,18,65.07,26.192,41.574
2021-07-25 11:00:00,19,48.51,26.192,41.574
2021-07-25 12:00:00,21,44.35,25.256,41.574
2021-07-25 13:00:00,22,51.54,25.256,41.574
2021-07-25 14:00:00,17,67.39,25.256,41.574
2021-07-25 15:00:00,14,66.49,26.192,41.574
2021-07-25 16:00:00,7,55.9,26.192,41.574
2021-07-25 17:00:00,5,45.06,26.192,41.574
2021-07-25 18:00:00,18,46.28,26.192,41.574
2021-07-25 19:00:00,22,49.37,26.192,41.574
2021-07-25 20:00:00,18,53.45,26.192,41.574
2021-07-25 21:00:00,22,66.35,26.192,41.574
2021-07-25 22:00:00,20,60.48,26.192,41.574
2021-07-25 23:00:00,20,56.69,26.192,41.574
2021-07-26 00:00:00,24,69.64,28.249,44.357
2021-07-26 01:00:00,17,55.08,28.249,44.357
2021-07-26 02:00:00,20,52.61,28.249,44.357
2021-07-26 03:00:00,28,68.23,28.249,44.357
2021-07-26 04:00:00,20,61.25,28.249,44.357
2021-07-26 05:00:00,22,61.0,28.249,44.357
2021-07-26 06:00:00,22,44.6,28.249,44.357
2021-07-26 07:00:00,19,52.47,28.249,44.357
2021-07-26 08:00:00,19,65.04,28.249,44.357
2021-07-26 09:00:00,23,46.57,28.249,44.357
2021-07-26 10:00:00,24,49.13,28.249,44.357
2021-07-26 11:00:00,25,50.85,28.249,44.357
2021-07-26 12:00:00,27,65.57,28.249,44.357
2021-07-26 13:00:00,28,69.74,28.249,44.357
2021-07-26 14:00:00,23,63.66,28.249,44.357
2021-07-26 15:00:00,20,51.45,28.214,44.357
2021-07-26 16:00:00,13,56.95,27.081,44.357
2021-07-26 17:00:00,11,68.57,27.081,44.357
2021-07-26 18:00:00,24,55.27,27.081,44.357
2021-07-26 19:00:00,28,67.44,27.081,44.357
2021-07-26 20:00:00,24,65.2,27.081,44.357
2021-07-26 21:00:00,28,65.05,27.081,44.357
2021-07-26 22:00:00,26,54.52,27.081,44.357
2021-07-26 23:00:00,26,61.54,27.665,44.357
2021-07-27 00:00:00,27,55.77,28.249,44.357
2021-07-27 01:00:00,20,50.96,28.249,44.357
2021-07-27 02:00:00,23,57.11,28.249,44.357
2021-07-27 03:00:00,31,50.76,28.249,44.357
2021-07-27 04:00:00,23,57.22,28.249,44.357
2021-07-27 05:00:00,25,49.22,28.249,44.357
2021-07-27 06:00:00,25,52.56,28.249,44.357
2021-07-27 07:00:00,22,58.88,28.249,44.357
2021-07-27 08:00:00,22,55.93,28.249,44.357
2021-07-27 09:00:00,26,51.83,28.249,37.354
2021-07-27 10:00:00,27,53.4,28.249,35.019
2021-07-27 11:00:00,28,45.2,28.249,35.019
2021-07-27 12:00:00,30,58.66,28.249,35.019
2021-07-27 13:00:00,31,57.87,27.56,35.019
2021-07-27 14:00:00,26,54.56,27.548,35.019
2021-07-27 15:00:00,23,66.45,27.548,35.019
2021-07-27 16:00:00,16,59.4,27.548,35.019
2021-07-27 17:00:00,14,53.81,27.548,35.019
2021-07-27 18:00:00,27,62.11,27.548,35.019
2021-07-27 19:00:00,31,48.37,27.548,35.019
2021-07-27 20:00:00,27,44.04,27.548,35.019
2021-07-27 21:00:00,31,50.51,27.548,35.019
2021-07-27 22:00:00,29,66.69,27.548,35.019
2021-07-27 23:00:00,29,69.61,27.747,35.019
2021-07-28 00:00:00,16,62.81,29.416,35.019
2021-07-28 01:00:00,9,46.92,29.416,37.354
2021-07-28 02:00:00,12,57.63,29.416,40.856
2021-07-28 03:00:00,20,63.43,29.416,40.856
2021-07-28 04:00:00,12,66.06,29.416,40.856
2021-07-28 05:00:00,14,59.68,29.416,40.856
2021-07-28 06:00:00,14,65.75,29.416,40.856
2021-07-28 07:00:00,11,57.12,29.416,40.856
2021-07-28 08:00:00,11,49.53,29.416,40.856
2021-07-28 09:00:00,15,69.5,27.432,40.856
2021-07-28 10:00:00,16,66.48,27.432,40.856
2021-07-28 11:00:00,17,62.61,27.432,40.856
2021-07-28 12:00:00,19,46.41,27.432,40.856
2021-07-28 13:00:00,20,59.71,27.432,40.856
2021-07-28 14:00:00,15,66.14,29.416,40.856
2021-07-28 15:00:00,12,46.43,29.416,40.856
2021-07-28 16:00:00,5,63.39,29.416,40.856
2021-07-28 17:00:00,3,52.66,29.416,40.856
2021-07-28 18:00:00,16,49.4,29.416,40.856
2021-07-28 19:00:00,20,66.37,29.416,40.856
2021-07-28 20:00:00,16,57.44,29.416,40.856
2021-07-28 21:00:00,20,58.58,29.416,40.856
2021-07-28 22:00:00,18,68.76,29.416,40.856
2021-07-28 23:00:00,18,45.8,29.416,40.856
2021-07-29 00:00:00,19,55.88,29.416,40.856
2021-07-29 01:00:00,12,64.65,31.167,40.856
2021-07-29 02:00:00,15,61.34,31.167,40.856
2021-07-29 03:00:00,23,64.34,31.167,40.856
2021-07-29 04:00:00,15,57.65,31.167,40.856
2021-07-29 05:00:00,17,59.35,31.167,40.856
2021-07-29 06:00:00,17,51.37,31.19,38.521
2021-07-29 07:00:00,14,63.61,31.19,36.186
2021-07-29 08:00:00,14,58.68,29.766,36.186
2021-07-29 09:00:00,18,48.18,29.766,36.186
2021-07-29 10:00:00,19,58.03,29.766,36.186
2021-07-29 11:00:00,20,69.0,29.766,36.186
2021-07-29 12:00:00,22,45.01,29.416,36.186
2021-07-29 13:00:00,23,66.48,29.416,36.186
2021-07-29 14:00:00,18,67.57,29.416,36.186
2021-07-29 15:00:00,15,48.84,29.416,36.186
2021-07-29 16:00:00,8,50.64,29.416,36.186
2021-07-29 17:00:00,6,46.62,29.416,36.186
2021-07-29 18:00:00,19,52.6,29.416,36.186
2021-07-29 19:00:00,23,60.0,29.416,36.186
2021-07-29 20:00:00,19,63.23,29.416,36.186
2021-07-29 21:00:00,23,66.25,29.416,36.186
2021-07-29 22:00:00,21,68.18,29.416,36.186
2021-07-29 23:00:00,21,56.98,29.416,36.186
2021-07-30 00:00:00,16,45.52,29.416,36.186
2021-07-30 01:00:00,9,51.73,29.416,36.186
2021-07-30 02:00:00,12,64.97,29.416,36.186
2021-07-30 03:00:00,20,46.73,29.416,36.186
2021-07-30 04:00:00,12,52.81,29.416,36.186
2021-07-30 05:00:00,14,51.79,29.416,37.354
2021-07-30 06:00:00,14,61.23,29.416,46.692
2021-07-30 07:00:00,11,51.48,29.416,46.692
2021-07-30 08:00:00,11,60.32,29.416,46.692
2021-07-30 09:00:00,15,47.36,29.416,46.692
2021-07-30 10:00:00,16,58.81,29.416,46.692
2021-07-30 11:00:00,17,64.72,29.416,46.692
2021-07-30 12:00:00,19,62.3,29.416,46.692
2021-07-30 13:00:00,20,51.23,29.416,46.692
2021-07-30 14:00:00,15,52.51,29.416,46.692
2021-07-30 15:00:00,12,59.27,29.416,46.692
2021-07-30 16:00:00,5,60.37,29.416,46.692
2021-07-30 17:00:00,3,45.62,29.416,46.692
2021-07-30 18:00:00,16,59.91,29.416,46.692
2021-07-30 19:00:00,20,64.64,29.416,46.692
2021-07-30 20:00:00,16,60.45,29.416,46.692
2021-07-30 21:00:00,20,45.01,29.416,46.692
2021-07-30 22:00:00,18,55.37,29.416,46.692
2021-07-30 23:00:00,18,66.57,29.416,46.692
2021-07-31 00:00:00,12,50.0,29.416,46.692
2021-07-31 01:00:00,5,55.85,29.416,46.692
2021-07-31 02:00:00,8,57.72,29.416,46.692
2021-07-31 03:00:00,16,61.67,29.416,46.692
2021-07-31 04:00:00,8,55.32,29.416,46.692
2021-07-31 05:00:00,10,60.31,29.416,46.692
2021-07-31 06:00:00,10,67.22,29.416,46.692
2021-07-31 07:00:00,7,55.7,29.416,46.692
2021-07-31 08:00:00,7,50.54,29.416,46.692
2021-07-31 09:00:00,11,69.55,29.416,46.692
2021-07-31 10:00:00,12,62.38,29.416,46.692
2021-07-31 11:00:00,13,64.25,29.416,46.692
2021-07-31 12:00:00,15,65.62,29.416,46.692
2021-07-31 13:00:00,16,61.8,29.416,46.692
2021-07-31 14:00:00,11,69.25,29.416,46.692
2021-07-31 15:00:00,8,44.28,29.416,46.692
2021-07-31 16:00:00,1,59.42,29.416,46.692
2021-07-31 17:00:00,-1,65.39,29.416,46.692
2021-07-31 18:00:00,12,52.83,29.416,46.692
2021-07-31 19:00:00,16,68.79,29.416,46.692
2021-07-31 20:00:00,12,54.57,29.416,46.692
2021-07-31 21:00:00,16,57.71,29.416,46.692
2021-07-31 22:00:00,14,48.13,29.416,46.692
2021-07-31 23:00:00,14,44.34,29.416,46.692
2021-08-01 00:00:00,14,48.52,29.416,46.692
2021-08-01 01:00:00,7,46.82,29.416,46.692
2021-08-01 02:00:00,10,50.98,29.416,46.692
2021-08-01 03:00:00,18,47.36,29.416,46.692
2021-08-01 04:00:00,10,65.41,29.416,46.692
2021-08-01 05:00:00,12,49.59,29.416,46.692
2021-08-01 06:00:00,12,66.67,29.416,46.692
2021-08-01 07:00:00,9,53.46,29.416,46.692
2021-08-01 08:00:00,9,68.36,29.416,46.692
2021-08-01 09:00:00,13,62.95,29.416,46.692
2021-08-01 10:00:00,14,66.04,29.416,46.692
2021-08-01 11:00:00,15,53.31,29.416,46.692
2021-08-01 12:00:00,17,45.32,28.365,46.692
2021-08-01 13:00:00,18,50.31,28.365,46.692
2021-08-01 14:00:00,13,54.86,28.365,46.692
2021-08-01 15:00:00,10,52.25,29.416,46.692
2021-08-01 16:00:00,3,66.6,29.416,46.692
2021-08-01 17:00:00,1,60.65,29.416,46.692
2021-08-01 18:00:00,14,48.08,29.416,46.692
2021-08-01 19:00:00,18,45.2,29.416,46.692
2021-08-01 20:00:00,14,48.09,29.416,46.692
2021-08-01 21:00:00,18,50.53,29.416,46.692
2021-08-01 22:00:00,16,50.04,29.416,46.692
2021-08-01 23:00:00,16,59.91,29.416,46.692
2021-08-02 00:00:00,10,56.67,28.327,44.481
2021-08-02 01:00:00,3,65.63,28.327,44.481
2021-08-02 02:00:00,6,62.56,28.327,44.481
2021-08-02 03:00:00,14,59.12,28.327,44.481
2021-08-02 04:00:00,6,59.4,28.327,44.481
2021-08-02 05:00:00,8,67.76,28.327,44.481
2021-08-02 06:00:00,8,65.23,28.327,44.481
2021-08-02 07:00:00,5,66.74,28.327,44.481
2021-08-02 08:00:00,5,46.08,28.327,44.481
2021-08-02 09:00:00,9,50.01,28.327,44.481
2021-08-02 10:00:00,10,49.66,28.327,44.481
