date,steps,minutesVeryActive,minutesSedentary,minutesLightlyActive,minutesFairlyActive,calories,activityCalories,daily_activity,activity_start_time,minutesAsleep,minutesAwake,time_in_bed,efficiency,distance,location,sleep_start_time
24/10/2021,3179,0,1013,158,0,2439,629,walking,14:41,427,26,408,84.22101960006697,4.75733,1,23:10:00
25/10/2021,3676,0,1168,147,0,2410,612,walking,14:48,429,6,408,85.94130216342123,2.3112,1,23:24:00
26/10/2021,6615,0,1219,221,0,2598,967,walking,14:50,496,10,408,83.61210858664084,2.67258,1,23:20:00
27/10/2021,7868,0,1224,216,0,2675,998,walking,14:51,434,27,408,88.322710063013,4.80922,1,23:10:00
28/10/2021,7868,0,1224,216,0,2675,998,walking,14:41,502,7,408,83.7661521158092,9.51802,1,23:52:00
29/10/2021,11059,23,1126,281,10,3256,1583,running,14:45,460,28,408,84.47441923022232,5.7202,1,23:44:00
30/10/2021,4416,0,1080,179,0,2423,714,walking,14:51,499,20,408,81.6585469777201,8.04004,1,23:11:00
31/10/2021,3930,5,1305,125,5,2525,720,walking,14:50,437,29,408,84.5328796209933,7.15453,1,23:49:00
01/11/2021,6433,0,1214,226,0,2707,1015,walking,14:46,447,20,408,88.20360877096958,2.85722,1,23:44:00
02/11/2021,3581,0,929,138,0,2317,573,walking,14:54,489,10,408,80.21133211500015,4.67692,1,23:16:00
03/11/2021,2632,0,843,125,0,2311,477,walking,14:41,492,8,408,80.73391919250946,2.60346,1,23:28:00
04/11/2021,10239,16,877,252,17,3024,1379,running,14:46,392,24,408,81.49879089086294,7.44399,1,23:42:00
05/11/2021,1260,0,1120,43,0,1958,211,resting,08:00,442,13,408,82.16264952761796,1.44399,0,23:40:00
06/11/2021,0,0,1440,0,0,1781,0,resting,08:00,456,19,408,87.11773700038893,0.91603,0,23:13:00
07/11/2021,0,0,1440,0,0,1781,0,resting,08:00,467,17,408,81.29747323021739,0.0,0,23:14:00
08/11/2021,2370,0,1281,105,0,2418,405,walking,14:55,459,9,408,82.67458879586434,0.0,1,23:15:00
09/11/2021,2636,0,1252,145,0,2299,586,walking,14:49,504,26,408,84.25961874513105,1.70976,1,23:07:00
10/11/2021,2632,0,843,125,0,2311,477,walking,14:45,484,9,408,84.09033778556675,1.91642,1,23:23:00
11/11/2021,3823,0,919,161,0,2337,650,walking,14:52,415,22,408,84.88778593172532,1.91354,1,23:09:00
12/11/2021,5338,0,1101,139,0,2409,656,walking,14:50,476,18,408,85.31560667770081,2.77941,1,23:34:00
13/11/2021,8503,5,880,259,4,2946,1239,walking,14:52,480,23,408,85.89414772852635,3.88077,1,23:43:00
14/11/2021,4468,0,716,165,0,2509,666,walking,14:53,459,17,408,85.23592658709904,6.1818,1,23:30:00
15/11/2021,7598,0,759,266,24,2908,1287,walking,14:54,452,27,408,83.92701539558969,3.24823,1,23:11:00
16/11/2021,7558,0,966,234,5,2726,1084,walking,14:51,441,9,408,85.82422802264095,5.52374,1,23:31:00
17/11/2021,5712,25,808,119,2,2509,715,running,14:50,459,28,408,86.06675109230935,5.49479,1,23:45:00
18/11/2021,5676,0,840,216,0,2634,918,walking,14:47,477,28,408,84.29614899407895,4.15269,1,23:18:00
19/11/2021,2405,0,944,119,0,2320,477,walking,14:47,464,25,408,82.88644464742389,4.12658,1,23:11:00
20/11/2021,4416,0,1080,179,0,2423,714,walking,14:52,362,11,408,83.62251696897317,1.74851,1,23:19:00
21/11/2021,2753,0,864,135,0,2229,504,walking,14:41,395,29,408,82.84437954600402,3.89512,1,23:37:00
22/11/2021,12208,30,1131,260,19,3190,1583,running,14:52,465,8,408,85.50224990187886,2.00149,1,23:08:00
23/11/2021,4047,0,893,171,0,2366,679,walking,14:40,467,19,408,87.14947830990049,2.94223,1,23:37:00
24/11/2021,7501,34,1064,145,1,2656,912,running,14:48,401,12,408,87.81792236632886,2.94223,1,23:32:00
25/11/2021,4445,0,931,184,0,2502,757,walking,14:43,413,6,408,83.93248589908848,5.53064,1,23:35:00
26/11/2021,6561,0,811,206,0,2669,953,walking,14:52,430,23,408,84.14755940101941,3.23168,1,23:48:00
27/11/2021,4416,0,1080,179,0,2423,714,walking,14:49,483,29,408,88.09910921800677,4.82016,1,23:11:00
28/11/2021,1129,0,1383,57,0,2057,213,resting,08:00,455,10,408,85.8761485070561,7.14709,0,23:38:00
29/11/2021,4387,0,1137,170,0,2373,693,walking,14:41,472,26,408,83.00061174620546,0.82081,1,23:41:00
30/11/2021,5883,16,692,203,14,2916,1209,running,14:53,419,16,408,85.21688328005015,3.18951,1,23:43:00
01/12/2021,3638,0,854,161,0,2517,672,walking,14:46,481,10,408,83.39774622466246,4.2771,1,23:55:00
02/12/2021,4416,0,1080,179,0,2423,714,walking,14:45,397,7,408,86.49906218140771,2.64489,1,23:38:00
03/12/2021,8187,32,807,148,13,2793,1041,running,14:41,474,25,408,85.49024521153493,5.50727,1,23:10:00
04/12/2021,4304,0,1197,143,0,2487,649,walking,14:45,421,14,408,87.22977804497313,5.97912,1,23:05:00
05/12/2021,3882,0,830,192,0,2524,760,walking,14:55,411,8,408,87.00459974136382,3.12907,1,23:46:00
06/12/2021,5068,0,1037,209,0,2612,882,walking,14:54,425,14,408,86.16200664523733,2.82234,1,23:38:00
07/12/2021,3466,0,781,173,0,2526,699,walking,14:47,393,18,408,87.11484265965487,3.68443,1,23:42:00
08/12/2021,4493,6,1096,133,22,2487,750,walking,14:55,466,19,408,86.56810134798866,2.51991,1,23:17:00
09/12/2021,3827,0,890,163,0,2366,665,walking,14:51,421,15,408,83.16246923034632,3.26652,1,23:32:00
10/12/2021,4416,0,1080,179,0,2423,714,walking,14:43,419,24,408,86.07055174936424,2.7823,1,23:51:00
11/12/2021,5901,0,815,251,0,2676,1009,walking,14:55,445,21,408,88.63668473095971,3.21054,1,23:50:00
12/12/2021,7039,2,1022,182,8,2586,900,walking,14:48,393,15,408,85.19673488268711,4.29019,1,23:39:00
