context_1,context_2,weight
"{'temperature': '[28.15, 29.94]'}","{'heart_rate': '[57.51, 68.78]'}",0.71
"{'temperature': '[28.15, 29.94]'}","{'respiration_rate': '[14.0, 16.97]'}",0.71
"{'temperature': '[28.15, 29.94]'}","{'humidity': '[42.67, 46.25]'}",0.63
"{'temperature': '[11.88, 19.0]'}",{'location': 'outdoors'},1.0
"{'temperature': '[11.88, 19.0]'}",{'activity': 'walking'},0.75
"{'temperature': '[11.88, 19.0]'}","{'heart_rate': '[101.89, 113.33]'}",0.75
"{'temperature': '[11.88, 19.0]'}","{'blood_pressure': '[86.7, 96.5]'}",0.61
"{'temperature': '[11.88, 19.0]'}","{'respiration_rate': '[25.09, 27.95]'}",0.75
"{'temperature': '[26.6, 28.12]'}",{'location': 'indoors'},1.0
"{'temperature': '[26.6, 28.12]'}",{'activity': 'resting'},0.65
"{'temperature': '[26.6, 28.12]'}","{'heart_rate': '[57.51, 68.78]'}",0.67
"{'temperature': '[26.6, 28.12]'}","{'respiration_rate': '[14.0, 16.97]'}",0.67
"{'temperature': '[26.6, 28.12]'}","{'skin_temprature': '[34.79, 35.49]'}",0.61
"{'temperature': '[26.6, 28.12]'}","{'humidity': '[42.67, 46.25]'}",0.55
"{'temperature': '[-4.76, 3.24]'}",{'location': 'outdoors'},1.0
"{'temperature': '[-4.76, 3.24]'}",{'activity': 'walking'},0.9
"{'temperature': '[-4.76, 3.24]'}","{'heart_rate': '[101.89, 113.33]'}",0.9
"{'temperature': '[-4.76, 3.24]'}","{'blood_pressure': '[86.7, 96.5]'}",0.86
"{'temperature': '[-4.76, 3.24]'}","{'respiration_rate': '[25.09, 27.95]'}",0.9
"{'temperature': '[3.3, 10.59]'}",{'location': 'outdoors'},1.0
"{'temperature': '[3.3, 10.59]'}",{'activity': 'walking'},0.7
"{'temperature': '[3.3, 10.59]'}","{'heart_rate': '[101.89, 113.33]'}",0.7
"{'temperature': '[3.3, 10.59]'}","{'blood_pressure': '[86.7, 96.5]'}",0.7
"{'temperature': '[3.3, 10.59]'}","{'respiration_rate': '[25.09, 27.95]'}",0.7
"{'temperature': '[23.61, 25.1]'}",{'location': 'indoors'},1.0
"{'temperature': '[23.61, 25.1]'}",{'activity': 'resting'},0.65
"{'temperature': '[23.61, 25.1]'}","{'heart_rate': '[57.51, 68.78]'}",0.69
"{'temperature': '[23.61, 25.1]'}","{'respiration_rate': '[14.0, 16.97]'}",0.69
"{'temperature': '[23.61, 25.1]'}","{'skin_temprature': '[31.74, 32.16]'}",0.53
"{'humidity': '[37.2, 39.91]'}","{'temperature': '[23.61, 25.1]'}",0.69
"{'temperature': '[20.34, 22.43]'}",{'location': 'indoors'},1.0
"{'temperature': '[20.34, 22.43]'}",{'activity': 'resting'},0.71
"{'temperature': '[20.34, 22.43]'}","{'heart_rate': '[57.51, 68.78]'}",0.69
"{'temperature': '[20.34, 22.43]'}","{'respiration_rate': '[14.0, 16.97]'}",0.69
"{'temperature': '[20.34, 22.43]'}","{'skin_temprature': '[31.74, 32.16]'}",0.54
"{'humidity': '[64.63, 68.75]'}",{'location': 'outdoors'},1.0
"{'humidity': '[64.63, 68.75]'}",{'activity': 'walking'},0.79
"{'humidity': '[64.63, 68.75]'}","{'heart_rate': '[101.89, 113.33]'}",0.79
"{'humidity': '[64.63, 68.75]'}","{'blood_pressure': '[86.7, 96.5]'}",0.72
"{'humidity': '[64.63, 68.75]'}","{'respiration_rate': '[25.09, 27.95]'}",0.79
"{'humidity': '[64.63, 68.75]'}","{'temperature': '[3.3, 10.59]'}",0.52
"{'humidity': '[45.37, 49.45]'}",{'location': 'outdoors'},1.0
"{'humidity': '[45.37, 49.45]'}",{'activity': 'walking'},0.79
"{'humidity': '[45.37, 49.45]'}","{'heart_rate': '[101.89, 113.33]'}",0.79
"{'humidity': '[45.37, 49.45]'}","{'blood_pressure': '[86.7, 96.5]'}",0.76
"{'humidity': '[45.37, 49.45]'}","{'respiration_rate': '[25.09, 27.95]'}",0.79
"{'humidity': '[32.98, 35.27]'}",{'location': 'indoors'},1.0
"{'humidity': '[32.98, 35.27]'}",{'activity': 'resting'},0.68
"{'humidity': '[32.98, 35.27]'}","{'heart_rate': '[57.51, 68.78]'}",0.68
"{'humidity': '[32.98, 35.27]'}","{'respiration_rate': '[14.0, 16.97]'}",0.68
"{'humidity': '[27.1, 31.68]'}",{'location': 'indoors'},1.0
"{'humidity': '[27.1, 31.68]'}",{'activity': 'resting'},0.69
"{'humidity': '[27.1, 31.68]'}","{'heart_rate': '[57.51, 68.78]'}",0.68
"{'humidity': '[27.1, 31.68]'}","{'respiration_rate': '[14.0, 16.97]'}",0.68
"{'humidity': '[27.1, 31.68]'}","{'skin_temprature': '[31.74, 32.16]'}",0.54
"{'humidity': '[27.1, 31.68]'}","{'temperature': '[20.34, 22.43]'}",0.59
"{'humidity': '[42.67, 46.25]'}",{'location': 'indoors'},1.0
"{'humidity': '[42.67, 46.25]'}",{'activity': 'resting'},0.65
"{'humidity': '[42.67, 46.25]'}","{'heart_rate': '[57.51, 68.78]'}",0.7
"{'humidity': '[42.67, 46.25]'}","{'respiration_rate': '[14.0, 16.97]'}",0.7
"{'humidity': '[51.2, 55.81]'}",{'location': 'outdoors'},1.0
"{'humidity': '[51.2, 55.81]'}",{'activity': 'walking'},0.72
"{'humidity': '[51.2, 55.81]'}","{'heart_rate': '[101.89, 113.33]'}",0.72
"{'humidity': '[51.2, 55.81]'}","{'blood_pressure': '[86.7, 96.5]'}",0.72
"{'humidity': '[51.2, 55.81]'}","{'respiration_rate': '[25.09, 27.95]'}",0.72
"{'humidity': '[37.2, 39.91]'}",{'location': 'indoors'},1.0
"{'humidity': '[37.2, 39.91]'}",{'activity': 'resting'},0.62
"{'humidity': '[37.2, 39.91]'}","{'heart_rate': '[57.51, 68.78]'}",0.7
"{'humidity': '[37.2, 39.91]'}","{'respiration_rate': '[14.0, 16.97]'}",0.7
"{'humidity': '[57.71, 62.67]'}",{'location': 'outdoors'},1.0
"{'humidity': '[57.71, 62.67]'}",{'activity': 'walking'},0.79
"{'humidity': '[57.71, 62.67]'}","{'heart_rate': '[101.89, 113.33]'}",0.79
"{'humidity': '[57.71, 62.67]'}","{'blood_pressure': '[86.7, 96.5]'}",0.76
"{'humidity': '[57.71, 62.67]'}","{'respiration_rate': '[25.09, 27.95]'}",0.79
{'medication_rate': 0.75},"{'heart_rate': '[57.51, 68.78]'}",0.5
{'medication_rate': 0.75},"{'respiration_rate': '[14.0, 16.97]'}",0.5
{'medication_rate': 0.25},"{'heart_rate': '[57.51, 68.78]'}",0.76
{'medication_rate': 0.25},"{'blood_pressure': '[86.7, 96.5]'}",0.65
{'medication_rate': 0.25},"{'respiration_rate': '[14.0, 16.97]'}",0.76
{'medication_rate': 0.25},"{'medicines': ""['Ramipril', 'Risperidon']""}",1.0
{'medication_rate': 0.5},"{'heart_rate': '[57.51, 68.78]'}",0.62
{'medication_rate': 0.5},"{'blood_pressure': '[86.7, 96.5]'}",0.65
{'medication_rate': 0.5},"{'respiration_rate': '[14.0, 16.97]'}",0.62
{'medication_rate': 0.5},"{'medicines': ""['Ramipril', 'Risperidon']""}",1.0
{'medication_rate': 0.0},"{'blood_pressure': '[86.7, 96.5]'}",0.61
{'medication_rate': 0.0},"{'medicines': ""['medicines not taken']""}",0.72
"{'medicines': ""['Calcium', 'Hydrochlorothiazid']""}","{'blood_pressure': '[86.7, 96.5]'}",0.71
"{'medicines': ""['Ramipril', 'Risperidon']""}","{'heart_rate': '[57.51, 68.78]'}",0.67
"{'medicines': ""['Ramipril', 'Risperidon']""}","{'blood_pressure': '[86.7, 96.5]'}",0.66
"{'medicines': ""['Ramipril', 'Risperidon']""}","{'respiration_rate': '[14.0, 16.97]'}",0.67
"{'medicines': ""['Levothyroxin', 'Pantoprazol']""}","{'blood_pressure': '[86.7, 96.5]'}",0.67
"{'medicines': ""['Tamsulosin', 'Zopiclon']""}","{'heart_rate': '[57.51, 68.78]'}",1.0
"{'medicines': ""['Tamsulosin', 'Zopiclon']""}","{'blood_pressure': '[62.06, 76.74]'}",0.52
"{'medicines': ""['Tamsulosin', 'Zopiclon']""}","{'respiration_rate': '[14.0, 16.97]'}",1.0
"{'medicines': ""['Tamsulosin', 'Zopiclon']""}",{'medication_rate': 0.75},0.52
"{'medicines': ""['medicines not taken']""}","{'blood_pressure': '[86.7, 96.5]'}",0.6
